2025-09-29 13:01:51,512 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-24 13:00:00
2025-09-29 13:01:52,550 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-25 05:40:00
2025-09-29 13:01:52,918 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-25 22:20:00
2025-09-29 13:01:53,257 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-26 15:00:00
2025-09-29 13:01:53,635 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-27 07:40:00
2025-09-29 13:01:54,188 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-28 00:20:00
2025-09-29 13:01:54,527 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-28 17:00:00
2025-09-29 13:01:54,868 - INFO - Fetched 1000 recent candles for BTC/USDT 1m, up to 2025-09-29 09:40:00
2025-09-29 13:01:55,262 - INFO - Fetched 198 recent candles for BTC/USDT 1m, up to 2025-09-29 12:58:00
2025-09-29 13:02:00,411 - INFO - Saved 745918 total rows in ZIP: data\BTCUSDT\1m.zip (uncompressed CSV inside, ~70% size reduction via ZIP)
2025-09-29 13:02:00,420 - INFO - Downloading historical ZIPs for BTC/USDT 5m from 2023-09-30 13:02:00.420369 to 2025-08-30 13:02:00.420383
2025-09-29 13:02:35,721 - WARNING - Error saving BTCUSDT-5m-2023-09.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Read timed out. (read timeout=None)
2025-09-29 13:02:35,724 - WARNING - Error saving BTCUSDT-5m-2023-10.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-10.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14410>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,725 - WARNING - Error saving BTCUSDT-5m-2023-11.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-11.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14A50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,728 - WARNING - Error saving BTCUSDT-5m-2023-12.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2023-12.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14F50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,729 - WARNING - Error saving BTCUSDT-5m-2024-01.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-01.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15450>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,730 - WARNING - Error saving BTCUSDT-5m-2024-02.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-02.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15950>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,731 - WARNING - Error saving BTCUSDT-5m-2024-03.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-03.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15E50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,733 - WARNING - Error saving BTCUSDT-5m-2024-04.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-04.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F16350>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,734 - WARNING - Error saving BTCUSDT-5m-2024-05.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-05.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F16850>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,737 - WARNING - Error saving BTCUSDT-5m-2024-06.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-06.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F16D50>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,739 - WARNING - Error saving BTCUSDT-5m-2024-07.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-07.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F17250>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,740 - WARNING - Error saving BTCUSDT-5m-2024-08.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-08.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F17750>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,742 - WARNING - Error saving BTCUSDT-5m-2024-09.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-09.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917E77B10>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,743 - WARNING - Error saving BTCUSDT-5m-2024-10.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-10.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F17890>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,745 - WARNING - Error saving BTCUSDT-5m-2024-11.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-11.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F17390>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,746 - WARNING - Error saving BTCUSDT-5m-2024-12.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2024-12.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F16E90>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,747 - WARNING - Error saving BTCUSDT-5m-2025-01.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-01.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F16990>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,748 - WARNING - Error saving BTCUSDT-5m-2025-02.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-02.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F16490>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,750 - WARNING - Error saving BTCUSDT-5m-2025-03.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-03.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15F90>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,752 - WARNING - Error saving BTCUSDT-5m-2025-04.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-04.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15A90>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,754 - WARNING - Error saving BTCUSDT-5m-2025-05.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-05.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15590>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,755 - WARNING - Error saving BTCUSDT-5m-2025-06.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-06.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F15090>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
2025-09-29 13:02:35,756 - WARNING - Error saving BTCUSDT-5m-2025-07.zip: HTTPSConnectionPool(host='data.binance.vision', port=443): Max retries exceeded with url: /data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-07.zip (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x0000022917F14B90>: Failed to resolve 'data.binance.vision' ([Errno 11001] getaddrinfo failed)"))
